Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,HIV deaths,,HIV diagnoses,,HIV prevalence,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"2008","Rhode Island","79","8.8","40","4.5","1,253","140.2","45","5.0","123","13.8","1,888","211.3"
"2008","South Carolina^","652","17.5","328","8.8","7,010","187.8","375","10.0","701","18.8","13,171","352.9"
"2008","South Dakota","10","1.5","8","1.2","144","21.8","10","1.5","28","4.2","368","55.6"
"2008","Tennessee","542","10.5","334","6.5","6,421","124.2","418","8.1","998","19.3","13,270","256.7"
"2008","Texas","2,758","14.3","1,203","6.2","33,182","171.9","1,423","7.4","4,165","21.6","58,026","300.5"
"2008","Utah","72","3.5","33","1.6","1,180","56.6","42","2.0","131","6.3","2,126","101.9"
"2008","Vermont","12","2.2","5","0.9","237","44.4","6","1.1","18","3.4","381","71.4"
"2008","Virginia","560","8.7","286","4.4","8,584","132.6","360","5.6","1,057","16.3","18,297","282.7"
"2008","Washington","398","7.3","144","2.6","5,737","105.2","172","3.2","521","9.6","9,449","173.3"
"2008","West Virginia","61","4.0","40","2.6","727","47.2","44","2.9","81","5.3","1,303","84.6"
"2008","Wisconsin","155","3.3","67","1.4","2,234","47.6","82","1.7","237","5.0","4,592","97.8"
"2008","Wyoming","14","3.2","3","0.7","103","23.4","4","0.9","22","5.0","185","42.0"
"2009","Alabama^","265","6.8","214","5.5","4,111","105.4","307","7.9","689","17.7","10,238","262.6"
"2009","Alaska","15","2.7","12","2.1","319","56.4","13","2.3","21","3.7","550","97.2"
"2009","Arizona","507","9.5","177","3.3","5,408","101.7","213","4.0","641","12.1","11,245","211.5"
"2009","Arkansas","171","7.2","85","3.6","2,033","85.6","111","4.7","279","11.8","4,201","177.0"
"2009","California","3,677","12.2","1,390","4.6","65,119","215.9","1,626","5.4","5,417","18.0","103,109","341.8"
"2009","Colorado","267","6.5","110","2.7","4,389","106.5","141","3.4","370","9.0","10,019","243.1"
"2009","Connecticut","246","8.3","208","7.0","6,433","217.9","234","7.9","343","11.6","9,286","314.6"
"2009","Delaware","113","15.4","68","9.2","1,759","239.0","83","11.3","149","20.2","2,691","365.6"
"2009","District of Columbia","517","100.2","232","45.0","7,778","1507.4","288","55.8","822","159.3","12,511","2424.7"
"2009","Florida","3,810","24.4","1,921","12.3","50,528","323.6","2,240","14.3","5,041","32.3","87,853","562.6"
"2009","Georgia","1,867","23.5","801","10.1","18,629","234.7","956","12.0","2,915","36.7","33,517","422.3"
"2009","Hawaii","63","5.8","24","2.2","1,253","115.7","26","2.4","84","7.8","2,000","184.7"
"2009","Idaho","28","2.3","7","0.6","345","27.9","7","0.6","48","3.9","729","58.9"
"2009","Illinois","1,114","10.5","504","4.7","15,751","148.2","613","5.8","1,728","16.3","28,621","269.3"
"2009","Indiana","350","6.6","174","3.3","4,332","82.0","203","3.8","461","8.7","8,126","153.9"
"2009","Iowa","91","3.6","33","1.3","985","39.5","37","1.5","124","5.0","1,572","63.0"
"2009","Kansas","96","4.2","33","1.4","1,356","58.8","41","1.8","153","6.6","2,324","100.8"
"2009","Kentucky","204","5.7","96","2.7","2,654","74.1","124","3.5","343","9.6","4,813","134.3"
"2009","Louisiana","781","21.2","455","12.4","8,420","228.7","538","14.6","1,171","31.8","15,972","433.9"
"2009","Maine","35","3.1","18","1.6","568","50.2","24","2.1","56","5.0","1,012","89.5"
"2009","Maryland","911","19.2","559","11.8","14,999","316.9","677","14.3","1,668","35.2","26,084","551.0"
"2009","Massachusetts","482","8.6","245","4.4","10,063","180.3","298","5.3","683","12.2","16,535","296.3"
"2009","Michigan","474","5.7","240","2.9","6,922","83.2","305","3.7","801","9.6","12,930","155.3"
"2009","Minnesota","189","4.3","80","1.8","2,786","63.9","100","2.3","380","8.7","6,254","143.5"
"2009","Mississippi","315","13.1","168","7.0","3,373","140.7","229","9.6","491","20.5","7,727","322.3"
"2009","Missouri","397","8.0","184","3.7","5,503","110.9","215","4.3","521","10.5","10,262","206.8"
"2009","Montana","19","2.3","7","0.9","215","26.3","9","1.1","31","3.8","328","40.1"
"2009","Nebraska","64","4.4","26","1.8","821","56.0","31","2.1","108","7.4","1,516","103.3"
"2009","Nevada","223","10.4","101","4.7","3,072","143.4","122","5.7","360","16.8","6,279","293.2"
"2009","New Hampshire","41","3.6","17","1.5","560","49.8","22","2.0","38","3.4","1,041","92.6"
"2009","New Jersey","1,096","15.1","617","8.5","18,205","251.1","769","10.6","1,388","19.1","33,889","467.4"
