Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,Acute Viral Hepatitis B,,Acute Viral Hepatitis C,,Chlamydia,,Congenital Syphilis,,Early Non-Primary Non-Secondary Syphilis,,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),,Gonorrhea,,HIV deaths,,HIV diagnoses,,HIV prevalence,,HIV viral suppression,,Hepatitis  A,,Knowledge of Status,,Linkage to HIV care,,PrEP coverage and number of persons prescribed,,Primary and Secondary Syphilis,,Receipt of HIV medical care,
,,Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"2017","Florida","12.1","NA","9.1","NA","327.0","NA","Data not available","NA","Data not available","NA","556.7","NA","Data not available","NA","16.9","NA","24.6 (21.4 - 27.7)","NA","700.1 (687.0 - 713.2)","NA","176.4","NA","11.4","NA","25.4","NA","607.2","NA","NA","63.9","Data not available","NA","NA","85.6 (84.0 - 87.2, 1.0)","NA","77.7","NA","6.7","13.3","NA","NA","75.2"
"2017","Georgia","15.5","NA","7.6","NA","311.1","NA","Data not available","NA","Data not available","NA","753.8","NA","Data not available","NA","14.1","NA","29.5 (24.2 - 34.8)","NA","734.6 (716.3 - 752.9)","NA","262.5","NA","9.8","NA","30.1","NA","612.6","NA","NA","58.7","Data not available","NA","NA","82.7 (80.6 - 84.8, 1.3)","NA","76.3","NA","11.0","17.3","NA","NA","73.2"
"2017","Hawaii","2.5","NA","2.6","NA","116.8","NA","Data not available","NA","Data not available","NA","570.4","NA","Data not available","NA","4.8","NA","8.2 (1.0 - 15.4)","NA","231.0 (201.7 - 260.2)","NA","112.9","NA","3.1","NA","6.4","NA","202.5","NA","NA","69.1","Data not available","NA","NA","87.1 (77.4 - 99.8, 6.6)","NA","85.7","NA","8.1","7.8","NA","NA","77.1"
"2017","Idaho","1.4","NA","1.1","NA","39.7","NA","Data not available","NA","Data not available","NA","441.9","NA","Data not available","NA","2.9","NA","Data suppressed","NA","97.1 (79.1 - 116.4)","NA","69.8","NA","1.4","NA","3.3","NA","80.2","NA","NA","Data not available","Data not available","NA","NA","81.5 (68.0 - 100.0, 10.0)","NA","Data not available","NA","6.9","4.4","NA","NA","Data not available"
"2017","Illinois","5.9","NA","3.5","NA","164.0","NA","Data not available","NA","Data not available","NA","703.5","NA","Data not available","NA","11.1","NA","12.1 (9.1 - 15.0)","NA","375.8 (363.3 - 388.3)","NA","222.3","NA","4.6","NA","12.7","NA","326.2","NA","NA","54.2","Data not available","NA","NA","86.0 (83.2 - 89.0, 1.7)","NA","81.8","NA","18.6","11.4","NA","NA","72.2"
"2017","Indiana","4.5","NA","3.0","NA","99.2","NA","Data not available","NA","Data not available","NA","618.7","NA","Data not available","NA","4.5","NA","9.5 (5.6 - 13.5)","NA","238.9 (225.3 - 252.5)","NA","213.6","NA","3.9","NA","9.3","NA","199.8","NA","NA","61.9","Data not available","NA","NA","82.7 (78.3 - 87.7, 2.9)","NA","67.5","NA","7.1","5.8","NA","NA","77.2"
"2017","Iowa","2.2","NA","1.2","NA","56.6","NA","Data not available","NA","Data not available","NA","531.1","NA","Data not available","NA","3.5","NA","4.0 (0.1 - 7.9)","NA","120.1 (107.1 - 133.2)","NA","143.5","NA","1.7","NA","4.8","NA","101.8","NA","NA","79.6","Data not available","NA","NA","84.0 (75.7 - 94.2, 5.6)","NA","91.3","NA","18.0","3.9","NA","NA","87.0"
"2017","Kansas","2.5","NA","1.5","NA","64.2","NA","Data not available","NA","Data not available","NA","565.4","NA","Data not available","NA","8.4","NA","Data suppressed","NA","150.3 (133.3 - 167.2)","NA","189.4","NA","2.0","NA","5.0","NA","124.7","NA","NA","Data not available","Data not available","NA","NA","82.2 (73.9 - 92.6, 5.8)","NA","Data not available","NA","9.4","5.6","NA","NA","Data not available"
"2017","Kentucky","4.4","NA","2.9","NA","93.7","NA","Data not available","NA","Data not available","NA","517.3","NA","Data not available","NA","6.3","NA","8.3 (4.0 - 12.5)","NA","227.3 (211.9 - 242.7)","NA","198.5","NA","3.7","NA","9.8","NA","189.4","NA","NA","Data not available","Data not available","NA","NA","82.6 (77.4 - 88.6, 3.5)","NA","Data not available","NA","5.7","7.0","NA","NA","Data not available"
"2017","Louisiana","12.9","NA","8.1","NA","269.9","NA","Data not available","NA","Data not available","NA","897.9","NA","Data not available","NA","16.1","NA","25.8 (18.2 - 33.3)","NA","631.0 (603.2 - 658.7)","NA","310.3","NA","10.6","NA","25.8","NA","524.5","NA","NA","64.8","Data not available","NA","NA","82.5 (79.0 - 86.3, 2.3)","NA","79.0","NA","14.1","17.6","NA","NA","77.8"
