Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,Acute Viral Hepatitis B,,Acute Viral Hepatitis C,,Chlamydia,,Congenital Syphilis,,Early Non-Primary Non-Secondary Syphilis,,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),,Gonorrhea,,HIV deaths,,HIV diagnoses,,HIV prevalence,,HIV viral suppression,,Hepatitis  A,,Knowledge of Status,,Linkage to HIV care,,PrEP coverage and number of persons prescribed,,Primary and Secondary Syphilis,,Receipt of HIV medical care,
,,Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"2017","Rhode Island","4.1","NA","3.1","NA","155.8","NA","Data not available","NA","Data not available","NA","579.7","NA","Data not available","NA","7.7","NA","8.3 (0.6 - 16.0)","NA","309.4 (274.3 - 345.9)","NA","119.4","NA","3.7","NA","9.3","NA","279.1","NA","NA","76.8","Data not available","NA","NA","88.7 (79.3 - 100.0, 6.0)","NA","91.7","NA","14.5","7.8","NA","NA","83.8"
"2017","South Carolina^","9.7","NA","6.2","NA","211.0","NA","Data not available","NA","Data not available","NA","760.4","NA","Data not available","NA","16.2","NA","16.5 (10.2 - 22.7)","NA","470.3 (447.9 - 492.8)","NA","297.7","NA","8.0","NA","16.7","NA","393.4","NA","NA","66.4","Data not available","NA","NA","82.8 (79.0 - 86.9, 2.4)","NA","85.0","NA","6.8","8.5","NA","NA","78.5"
"2017","South Dakota","1.8","NA","0.4","NA","36.3","NA","Data not available","NA","Data not available","NA","621.1","NA","Data not available","NA","2.7","NA","Data suppressed","NA","103.8 (79.5 - 129.2)","NA","180.3","NA","1.3","NA","5.5","NA","80.6","NA","NA","55.6","Data not available","NA","NA","76.5 (61.5 - 100.0, 12.8)","NA","87.2","NA","5.4","4.6","NA","NA","67.9"
"2017","Tennessee","5.7","NA","4.6","NA","146.3","NA","Data not available","NA","Data not available","NA","622.8","NA","Data not available","NA","7.3","NA","12.5 (8.6 - 16.4)","NA","343.9 (327.7 - 360.0)","NA","220.5","NA","5.9","NA","12.8","NA","295.0","NA","NA","57.6","Data not available","NA","NA","85.0 (81.2 - 89.2, 2.4)","NA","60.8","NA","7.5","8.7","NA","NA","80.0"
"2017","Texas","8.4","NA","5.0","NA","194.7","NA","Data not available","NA","Data not available","NA","658.4","NA","Data not available","NA","16.0","NA","19.0 (16.4 - 21.5)","NA","461.1 (452.0 - 470.3)","NA","206.0","NA","6.2","NA","19.0","NA","383.3","NA","NA","61.3","Data not available","NA","NA","82.5 (80.9 - 84.1, 1.0)","NA","72.5","NA","9.0","9.7","NA","NA","76.3"
"2017","Utah","1.6","NA","0.8","NA","57.0","NA","Data not available","NA","Data not available","NA","417.3","NA","Data not available","NA","3.5","NA","4.6 (0.8 - 8.4)","NA","133.6 (118.8 - 148.5)","NA","104.7","NA","0.9","NA","4.7","NA","113.1","NA","NA","62.8","Data not available","NA","NA","83.8 (75.4 - 94.2, 5.7)","NA","91.2","NA","15.2","4.8","NA","NA","71.1"
"2017","Vermont","2.4","NA","0.9","NA","68.0","NA","Data not available","NA","Data not available","NA","342.4","NA","Data not available","NA","2.4","NA","Data suppressed","NA","141.1 (124.9 - 170.3)","NA","37.4","NA","2.2","NA","3.7","NA","127.0","NA","NA","Data not available","Data not available","NA","NA","88.5 (73.4 - 100.0, 7.7)","NA","Data not available","NA","14.8","2.4","NA","NA","Data not available"
"2017","Virginia","5.4","NA","3.2","NA","149.8","NA","Data not available","NA","Data not available","NA","593.4","NA","Data not available","NA","9.3","NA","11.9 (8.4 - 15.5)","NA","360.1 (345.4 - 374.8)","NA","176.5","NA","4.2","NA","12.1","NA","313.6","NA","NA","54.4","Data not available","NA","NA","86.1 (82.7 - 89.7, 2.1)","NA","76.0","NA","6.1","7.5","NA","NA","66.7"
"2017","Washington","3.1","NA","2.3","NA","113.0","NA","Data not available","NA","Data not available","NA","517.6","NA","Data not available","NA","9.4","NA","7.7 (4.5 - 10.8)","NA","240.3 (228.0 - 252.6)","NA","159.2","NA","2.8","NA","6.9","NA","211.3","NA","NA","78.8","Data not available","NA","NA","87.1 (82.8 - 91.8, 2.6)","NA","91.7","NA","17.8","10.9","NA","NA","86.4"
"2017","West Virginia","2.6","NA","1.6","NA","63.6","NA","Data not available","NA","Data not available","NA","266.0","NA","Data not available","NA","2.2","NA","5.4 (0.1 - 10.7)","NA","137.4 (118.2 - 156.7)","NA","83.4","NA","2.0","NA","5.0","NA","115.5","NA","NA","59.2","Data not available","NA","NA","83.1 (72.9 - 96.6, 7.3)","NA","77.6","NA","6.4","4.0","NA","NA","72.5"
"2017","Wisconsin","2.2","NA","1.6","NA","61.4","NA","Data not available","NA","Data not available","NA","568.1","NA","Data not available","NA","4.1","NA","4.9 (2.2 - 7.6)","NA","144.4 (133.6 - 155.1)","NA","156.8","NA","2.1","NA","5.3","NA","125.9","NA","NA","74.8","Data not available","NA","NA","86.3 (80.3 - 93.2, 3.8)","NA","83.5","NA","9.1","3.5","NA","NA","82.6"
"2017","Wyoming","1.3","NA","0.8","NA","36.3","NA","Data not available","NA","Data not available","NA","446.5","NA","Data not available","NA","0.8","NA","Data suppressed","NA","76.2 (66.3 - 100.3)","NA","85.9","NA","1.0","NA","2.1","NA","67.6","NA","NA","77.2","Data not available","NA","NA","87.0 (66.1 - 100.0, 9.9)","NA","90.0","NA","3.5","0.8","NA","NA","84.9"
"2018","Alabama^","7.1","NA","4.0","NA","143.4","NA","Data not available","NA","Data not available","NA","689.5","NA","Data not available","NA","10.9","NA","14.7 (8.5 - 20.8)","NA","393.9 (372.5 - 415.3)","NA","308.9","NA","5.7","NA","14.8","NA","328.0","NA","NA","65.9","Data not available","NA","NA","82.6 (78.4 - 87.4, 2.8)","NA","80.4","NA","14.0","11.6","NA","NA","77.4"
"2018","Alaska","1.8","NA","1.3","NA","62.8","NA","Data not available","NA","Data not available","NA","1024.8","NA","Data not available","NA","6.8","NA","Data suppressed","NA","134.5 (116.0 - 165.8)","NA","373.6","NA","1.5","NA","3.8","NA","117.5","NA","NA","77.5","Data not available","NA","NA","86.3 (70.0 - 100.0, 8.9)","NA","87.0","NA","11.2","9.2","NA","NA","88.7"
"2018","Arizona","4.9","NA","3.3","NA","128.9","NA","Data not available","NA","Data not available","NA","681.2","NA","Data not available","NA","15.0","NA","14.5 (9.1 - 19.9)","NA","329.0 (313.3 - 344.6)","NA","214.8","NA","4.2","NA","12.6","NA","275.7","NA","NA","Data not available","Data not available","NA","NA","83.1 (79.3 - 87.2, 2.4)","NA","Data not available","NA","13.6","17.5","NA","NA","Data not available"
"2018","Arkansas","4.8","NA","2.5","NA","102.8","NA","Data not available","NA","Data not available","NA","704.6","NA","Data not available","NA","14.5","NA","9.5 (2.5 - 16.5)","NA","277.9 (255.1 - 300.7)","NA","291.2","NA","3.4","NA","11.1","NA","228.2","NA","NA","Data not available","Data not available","NA","NA","81.4 (75.3 - 88.7, 4.2)","NA","Data not available","NA","11.6","11.5","NA","NA","Data not available"
"2018","California","5.5","NA","4.3","NA","211.5","NA","Data not available","NA","Data not available","NA","698.9","NA","Data not available","NA","23.3","NA","13.8 (11.7 - 15.8)","NA","450.9 (443.0 - 458.9)","NA","239.3","NA","5.3","NA","14.3","NA","395.4","NA","NA","66.9","Data not available","NA","NA","87.2 (85.7 - 88.7, 0.9)","NA","79.5","NA","21.8","23.0","NA","NA","76.0"
"2018","Colorado","3.9","NA","2.4","NA","113.4","NA","Data not available","NA","Data not available","NA","607.9","NA","Data not available","NA","7.5","NA","9.0 (4.3 - 13.7)","NA","302.0 (286.0 - 318.0)","NA","185.7","NA","3.0","NA","8.4","NA","264.0","NA","NA","59.9","Data not available","NA","NA","86.8 (82.4 - 91.7, 2.7)","NA","83.2","NA","13.7","7.0","NA","NA","67.4"
"2018","Connecticut","4.6","NA","4.8","NA","207.4","NA","Data not available","NA","Data not available","NA","544.6","NA","Data not available","NA","2.5","NA","6.2 (1.4 - 10.9)","NA","370.7 (346.9 - 394.4)","NA","161.4","NA","6.0","NA","8.5","NA","341.7","NA","NA","Data not available","Data not available","NA","NA","90.6 (85.1 - 96.8, 3.3)","NA","Data not available","NA","23.8","3.0","NA","NA","Data not available"
"2018","Delaware","6.6","NA","6.6","NA","241.7","NA","Data not available","NA","Data not available","NA","734.4","NA","Data not available","NA","4.4","NA","Data suppressed","NA","446.6 (397.0 - 496.2)","NA","206.1","NA","8.3","NA","11.1","NA","401.7","NA","NA","72.6","Data not available","NA","NA","88.7 (79.8 - 99.8, 5.8)","NA","80.4","NA","9.5","3.7","NA","NA","82.2"
"2018","District of Columbia","43.4","NA","25.6","NA","1251.3","NA","Data not available","NA","Data not available","NA","1487.9","NA","Data not available","NA","55.7","NA","38.3 (15.9 - 60.8)","NA","2477.7 (2339.6 - 2615.8)","NA","703.6","NA","33.3","NA","46.8","NA","2340.6","NA","NA","55.9","Data not available","NA","NA","93.6 (88.7 - 99.1, 2.8)","NA","84.0","NA","38.6","46.4","NA","NA","67.2"
"2018","Florida","11.4","NA","8.4","NA","324.2","NA","Data not available","NA","Data not available","NA","574.7","NA","Data not available","NA","21.6","NA","23.6 (20.1 - 27.0)","NA","700.1 (686.7 - 713.5)","NA","179.1","NA","10.6","NA","24.9","NA","609.8","NA","NA","65.8","Data not available","NA","NA","86.0 (84.4 - 87.7, 1.0)","NA","82.4","NA","11.7","15.8","NA","NA","76.5"
"2018","Georgia","13.5","NA","7.5","NA","314.4","NA","Data not available","NA","Data not available","NA","754.0","NA","Data not available","NA","17.4","NA","28.6 (22.4 - 34.7)","NA","747.2 (728.0 - 766.4)","NA","238.7","NA","9.7","NA","28.4","NA","626.7","NA","NA","59.6","Data not available","NA","NA","83.1 (81.1 - 85.3, 1.3)","NA","78.6","NA","16.2","18.4","NA","NA","73.8"
"2018","Hawaii","2.2","NA","2.6","NA","113.5","NA","Data not available","NA","Data not available","NA","644.8","NA","Data not available","NA","7.3","NA","Data suppressed","NA","225.2 (197.0 - 255.4)","NA","124.3","NA","3.0","NA","6.0","NA","198.2","NA","NA","72.5","Data not available","NA","NA","87.5 (77.1 - 100.0, 6.7)","NA","85.7","NA","15.6","7.7","NA","NA","78.7"
"2018","Idaho","1.6","NA","0.9","NA","39.8","NA","Data not available","NA","Data not available","NA","458.2","NA","Data not available","NA","2.3","NA","Data suppressed","NA","98.8 (80.6 - 119.4)","NA","79.0","NA","1.0","NA","2.6","NA","81.9","NA","NA","Data not available","Data not available","NA","NA","81.5 (67.5 - 100.0, 10.2)","NA","Data not available","NA","7.6","3.2","NA","NA","Data not available"
"2018","Illinois","5.8","NA","4.0","NA","165.9","NA","Data not available","NA","Data not available","NA","722.4","NA","Data not available","NA","13.7","NA","12.1 (8.7 - 15.6)","NA","383.7 (370.7 - 396.7)","NA","237.5","NA","5.2","NA","12.8","NA","334.8","NA","NA","57.2","Data not available","NA","NA","86.4 (83.6 - 89.5, 1.7)","NA","79.8","NA","24.8","13.2","NA","NA","72.9"
"2018","Indiana","4.5","NA","2.6","NA","101.0","NA","Data not available","NA","Data not available","NA","626.1","NA","Data not available","NA","6.4","NA","10.5 (5.8 - 15.1)","NA","244.8 (230.5 - 259.1)","NA","218.5","NA","3.5","NA","9.1","NA","204.8","NA","NA","62.2","Data not available","NA","NA","82.7 (78.1 - 87.9, 3.0)","NA","68.4","NA","9.9","6.6","NA","NA","76.9"
"2018","Iowa","1.6","NA","1.3","NA","57.1","NA","Data not available","NA","Data not available","NA","559.2","NA","Data not available","NA","3.2","NA","Data suppressed","NA","124.3 (110.4 - 138.2)","NA","184.3","NA","1.9","NA","4.4","NA","105.8","NA","NA","80.5","Data not available","NA","NA","84.3 (75.8 - 94.9, 5.8)","NA","93.0","NA","24.2","3.3","NA","NA","87.4"
"2018","Kansas","3.3","NA","1.6","NA","65.5","NA","Data not available","NA","Data not available","NA","591.6","NA","Data not available","NA","12.1","NA","Data suppressed","NA","152.0 (134.2 - 169.8)","NA","218.3","NA","2.0","NA","6.5","NA","128.0","NA","NA","Data not available","Data not available","NA","NA","83.3 (74.6 - 94.3, 6.0)","NA","Data not available","NA","14.4","6.3","NA","NA","Data not available"
"2018","Kentucky","3.8","NA","2.7","NA","94.0","NA","Data not available","NA","Data not available","NA","517.6","NA","Data not available","NA","7.9","NA","11.3 (6.0 - 16.7)","NA","234.9 (218.6 - 251.3)","NA","199.0","NA","3.6","NA","10.1","NA","196.0","NA","NA","Data not available","Data not available","NA","NA","82.7 (77.3 - 88.9, 3.6)","NA","Data not available","NA","9.4","9.8","NA","NA","Data not available"
"2018","Louisiana","10.8","NA","8.5","NA","272.7","NA","Data not available","NA","Data not available","NA","938.3","NA","Data not available","NA","14.9","NA","27.5 (18.5 - 36.4)","NA","646.6 (617.3 - 675.9)","NA","311.5","NA","11.1","NA","24.9","NA","537.8","NA","NA","66.9","Data not available","NA","NA","82.5 (78.9 - 86.4, 2.3)","NA","78.9","NA","20.8","17.3","NA","NA","78.3"
"2018","Maine","2.0","NA","1.4","NA","69.8","NA","Data not available","NA","Data not available","NA","298.6","NA","Data not available","NA","3.7","NA","Data suppressed","NA","155.8 (136.9 - 179.6)","NA","60.7","NA","1.7","NA","2.6","NA","138.5","NA","NA","78.7","Data not available","NA","NA","87.9 (76.2 - 100.0, 6.9)","NA","96.7","NA","12.5","6.4","NA","NA","84.6"
"2018","Maryland","10.0","NA","9.8","NA","343.9","NA","Data not available","NA","Data not available","NA","699.0","NA","Data not available","NA","16.9","NA","16.3 (10.8 - 21.8)","NA","723.5 (697.9 - 749.0)","NA","202.9","NA","12.4","NA","19.5","NA","653.5","NA","NA","62.8","Data not available","NA","NA","88.9 (85.9 - 92.2, 1.8)","NA","81.7","NA","14.6","14.5","NA","NA","73.1"
"2018","Massachusetts","4.8","NA","3.9","NA","188.9","NA","Data not available","NA","Data not available","NA","512.9","NA","Data not available","NA","10.5","NA","11.4 (7.3 - 15.5)","NA","384.0 (367.4 - 400.6)","NA","135.8","NA","5.1","NA","11.0","NA","349.0","NA","NA","70.7","Data not available","NA","NA","89.5 (85.8 - 93.5, 2.2)","NA","86.5","NA","30.6","9.3","NA","NA","78.8"
"2018","Michigan","3.8","NA","2.9","NA","95.2","NA","Data not available","NA","Data not available","NA","597.5","NA","Data not available","NA","4.8","NA","7.9 (4.7 - 11.2)","NA","223.4 (211.8 - 235.0)","NA","197.1","NA","3.7","NA","8.5","NA","188.8","NA","NA","73.2","Data not available","NA","NA","83.5 (79.4 - 88.1, 2.7)","NA","82.4","NA","11.8","7.7","NA","NA","84.1"
"2018","Minnesota","2.8","NA","1.4","NA","83.2","NA","Data not available","NA","Data not available","NA","504.7","NA","Data not available","NA","6.1","NA","6.2 (2.4 - 10.0)","NA","207.0 (193.8 - 220.2)","NA","161.4","NA","1.8","NA","6.2","NA","183.0","NA","NA","66.4","Data not available","NA","NA","87.3 (82.0 - 93.2, 3.3)","NA","81.3","NA","16.0","6.3","NA","NA","74.8"
"2018","Mississippi","10.5","NA","7.6","NA","186.6","NA","Data not available","NA","Data not available","NA","891.3","NA","Data not available","NA","37.8","NA","17.7 (6.5 - 29.0)","NA","473.2 (439.8 - 506.5)","NA","393.0","NA","9.2","NA","19.2","NA","384.1","NA","NA","50.3","Data not available","NA","NA","80.2 (74.9 - 86.3, 3.6)","NA","74.8","NA","14.4","18.7","NA","NA","72.8"
"2018","Missouri","4.2","NA","3.5","NA","124.0","NA","Data not available","NA","Data not available","NA","675.8","NA","Data not available","NA","10.6","NA","9.3 (5.2 - 13.4)","NA","279.4 (263.9 - 294.9)","NA","293.7","NA","4.6","NA","8.7","NA","244.5","NA","NA","63.6","Data not available","NA","NA","86.9 (82.3 - 92.0, 2.8)","NA","70.7","NA","14.9","15.7","NA","NA","76.7"
"2018","Montana","1.0","NA","1.1","NA","38.4","NA","Data not available","NA","Data not available","NA","546.9","NA","Data not available","NA","2.8","NA","Data suppressed","NA","81.8 (71.2 - 99.2)","NA","131.7","NA","1.5","NA","2.6","NA","71.6","NA","NA","81.9","Data not available","NA","NA","87.1 (71.8 - 100.0, 8.3)","NA","91.3","NA","8.1","5.0","NA","NA","90.5"
"2018","Nebraska","2.4","NA","1.5","NA","66.3","NA","Data not available","NA","Data not available","NA","507.1","NA","Data not available","NA","2.3","NA","Data suppressed","NA","158.8 (138.3 - 179.4)","NA","170.4","NA","2.0","NA","5.0","NA","136.8","NA","NA","66.0","Data not available","NA","NA","85.0 (75.2 - 97.6, 6.7)","NA","81.0","NA","21.7","7.5","NA","NA","77.1"
"2018","Nevada","8.2","NA","4.9","NA","189.5","NA","Data not available","NA","Data not available","NA","691.4","NA","Data not available","NA","20.2","NA","24.1 (13.1 - 35.1)","NA","490.5 (461.3 - 519.8)","NA","255.6","NA","5.8","NA","19.8","NA","401.4","NA","NA","62.9","Data not available","NA","NA","81.2 (76.7 - 86.4, 3.0)","NA","87.7","NA","13.1","27.0","NA","NA","74.2"
"2018","New Hampshire","1.6","NA","1.3","NA","51.9","NA","Data not available","NA","Data not available","NA","317.6","NA","Data not available","NA","3.5","NA","Data suppressed","NA","114.7 (104.4 - 134.3)","NA","50.4","NA","1.5","NA","3.2","NA","106.2","NA","NA","74.0","Data not available","NA","NA","91.0 (77.7 - 100.0, 6.3)","NA","97.4","NA","16.7","5.4","NA","NA","80.9"
"2018","New Jersey","6.9","NA","6.3","NA","237.0","NA","Data not available","NA","Data not available","NA","486.3","NA","Data not available","NA","10.5","NA","12.8 (8.0 - 17.6)","NA","517.7 (497.3 - 538.1)","NA","120.7","NA","8.5","NA","13.6","NA","463.2","NA","NA","Data not available","Data not available","NA","NA","88.0 (84.6 - 91.6, 2.0)","NA","Data not available","NA","18.3","7.6","NA","NA","Data not available"
"2018","New Mexico","3.5","NA","3.0","NA","110.1","NA","Data not available","NA","Data not available","NA","800.1","NA","Data not available","NA","9.2","NA","10.6 (3.2 - 18.0)","NA","237.0 (214.2 - 259.8)","NA","300.8","NA","4.2","NA","7.7","NA","205.0","NA","NA","71.3","Data not available","NA","NA","86.0 (78.4 - 95.1, 5.0)","NA","83.6","NA","11.9","17.4","NA","NA","80.0"
"2018","New York","8.3","NA","8.5","NA","435.3","NA","Data not available","NA","Data not available","NA","719.5","NA","Data not available","NA","24.7","NA","12.2 (9.4 - 14.9)","NA","807.9 (792.9 - 822.9)","NA","224.2","NA","10.5","NA","14.8","NA","761.4","NA","NA","64.8","Data not available","NA","NA","92.3 (90.6 - 94.0, 0.9)","NA","86.4","NA","41.4","16.0","NA","NA","73.8"
"2018","North Carolina","5.8","NA","4.1","NA","162.0","NA","Data not available","NA","Data not available","NA","761.1","NA","Data not available","NA","9.1","NA","12.2 (8.7 - 15.7)","NA","412.5 (398.6 - 426.3)","NA","271.3","NA","6.1","NA","13.6","NA","362.9","NA","NA","66.9","Data not available","NA","NA","87.0 (84.2 - 90.0, 1.7)","NA","78.5","NA","12.4","12.6","NA","NA","77.8"
"2018","North Dakota","1.6","NA","1.0","NA","32.2","NA","Data not available","NA","Data not available","NA","564.5","NA","Data not available","NA","2.1","NA","Data suppressed","NA","110.0 (72.9 - 147.2)","NA","219.2","NA","1.3","NA","5.8","NA","71.9","NA","NA","78.2","Data not available","NA","NA","64.1 (47.9 - 96.7, 19.4)","NA","83.3","NA","10.5","6.6","NA","NA","84.7"
"2018","Ohio","4.8","NA","2.9","NA","107.0","NA","Data not available","NA","Data not available","NA","642.3","NA","Data not available","NA","4.9","NA","9.0 (5.9 - 12.2)","NA","269.1 (258.1 - 280.1)","NA","255.4","NA","3.8","NA","9.9","NA","228.0","NA","NA","58.8","Data not available","NA","NA","84.0 (80.7 - 87.6, 2.1)","NA","80.3","NA","11.9","7.5","NA","NA","72.0"
"2018","Oklahoma^","4.2","NA","2.6","NA","91.6","NA","Data not available","NA","Data not available","NA","675.8","NA","Data not available","NA","10.5","NA","9.2 (3.5 - 14.9)","NA","227.0 (208.5 - 245.5)","NA","276.8","NA","3.6","NA","8.6","NA","189.5","NA","NA","59.1","Data not available","NA","NA","82.8 (76.6 - 90.1, 4.2)","NA","70.0","NA","7.3","16.3","NA","NA","70.2"
"2018","Oregon","2.8","NA","2.5","NA","109.8","NA","Data not available","NA","Data not available","NA","539.4","NA","Data not available","NA","8.4","NA","5.4 (1.2 - 9.5)","NA","223.1 (207.4 - 238.7)","NA","166.0","NA","3.0","NA","6.5","NA","198.2","NA","NA","79.1","Data not available","NA","NA","88.3 (82.5 - 94.9, 3.6)","NA","82.1","NA","13.9","11.9","NA","NA","88.7"
"2018","Pennsylvania","4.3","NA","3.9","NA","178.2","NA","Data not available","NA","Data not available","NA","542.9","NA","Data not available","NA","10.9","NA","9.0 (5.4 - 12.6)","NA","364.7 (351.6 - 377.9)","NA","145.3","NA","5.3","NA","9.4","NA","328.9","NA","NA","Data not available","Data not available","NA","NA","88.7 (85.6 - 92.0, 1.8)","NA","Data not available","NA","23.5","7.3","NA","NA","Data not available"
"2018","Rhode Island","3.6","NA","3.5","NA","155.8","NA","Data not available","NA","Data not available","NA","600.1","NA","Data not available","NA","7.8","NA","Data suppressed","NA","311.8 (279.0 - 349.1)","NA","146.0","NA","4.5","NA","8.2","NA","283.8","NA","NA","78.9","Data not available","NA","NA","89.5 (79.9 - 100.0, 5.7)","NA","90.7","NA","22.3","10.5","NA","NA","85.0"
"2018","South Carolina^","8.6","NA","5.6","NA","211.1","NA","Data not available","NA","Data not available","NA","789.2","NA","Data not available","NA","17.1","NA","16.1 (8.9 - 23.2)","NA","473.4 (450.1 - 496.7)","NA","321.2","NA","7.4","NA","16.6","NA","398.2","NA","NA","68.2","Data not available","NA","NA","83.2 (79.3 - 87.5, 2.5)","NA","86.3","NA","12.0","9.0","NA","NA","79.2"
"2018","South Dakota","1.7","NA","1.5","NA","38.4","NA","Data not available","NA","Data not available","NA","615.4","NA","Data not available","NA","1.3","NA","Data suppressed","NA","108.8 (83.8 - 135.8)","NA","234.7","NA","1.8","NA","4.0","NA","85.1","NA","NA","58.2","Data not available","NA","NA","77.0 (61.7 - 100.0, 12.7)","NA","89.7","NA","10.9","5.7","NA","NA","83.1"
"2018","Tennessee","6.6","NA","4.9","NA","148.9","NA","Data not available","NA","Data not available","NA","671.0","NA","Data not available","NA","8.3","NA","11.6 (7.4 - 15.8)","NA","349.2 (332.6 - 365.8)","NA","256.7","NA","6.3","NA","13.1","NA","302.6","NA","NA","63.7","Data not available","NA","NA","85.8 (81.9 - 90.1, 2.4)","NA","73.4","NA","11.6","9.7","NA","NA","80.4"
"2018","Texas","8.1","NA","4.7","NA","195.8","NA","Data not available","NA","Data not available","NA","627.4","NA","Data not available","NA","18.2","NA","19.5 (16.5 - 22.5)","NA","470.3 (460.7 - 479.8)","NA","202.3","NA","5.9","NA","19.0","NA","393.1","NA","NA","62.1","Data not available","NA","NA","82.9 (81.3 - 84.7, 1.0)","NA","75.4","NA","14.3","10.9","NA","NA","76.1"
"2018","Utah","1.7","NA","1.5","NA","57.8","NA","Data not available","NA","Data not available","NA","424.5","NA","Data not available","NA","4.1","NA","5.4 (0.8 - 10.0)","NA","138.6 (123.4 - 153.9)","NA","116.5","NA","1.9","NA","4.9","NA","118.1","NA","NA","67.9","Data not available","NA","NA","84.3 (75.9 - 94.7, 5.7)","NA","83.2","NA","21.8","6.8","NA","NA","75.9"
"2018","Vermont","1.8","NA","1.5","NA","69.6","NA","Data not available","NA","Data not available","NA","314.6","NA","Data not available","NA","3.3","NA","Data suppressed","NA","143.5 (128.4 - 173.5)","NA","49.3","NA","2.0","NA","3.3","NA","130.6","NA","NA","Data not available","Data not available","NA","NA","89.5 (74.0 - 100.0, 7.4)","NA","Data not available","NA","26.7","2.0","NA","NA","Data not available"
"2018","Virginia","5.7","NA","3.1","NA","152.4","NA","Data not available","NA","Data not available","NA","599.2","NA","Data not available","NA","9.3","NA","11.2 (7.2 - 15.2)","NA","365.7 (350.5 - 380.8)","NA","164.3","NA","4.3","NA","12.0","NA","320.2","NA","NA","60.5","Data not available","NA","NA","86.6 (83.1 - 90.3, 2.1)","NA","76.8","NA","10.0","9.8","NA","NA","68.8"
"2018","Washington","3.2","NA","2.7","NA","112.8","NA","Data not available","NA","Data not available","NA","544.8","NA","Data not available","NA","9.5","NA","8.3 (4.5 - 12.1)","NA","243.5 (230.7 - 256.2)","NA","177.3","NA","3.5","NA","7.9","NA","214.7","NA","NA","79.4","Data not available","NA","NA","87.2 (82.9 - 92.1, 2.7)","NA","90.7","NA","20.6","12.7","NA","NA","86.1"
"2018","West Virginia","2.4","NA","2.5","NA","65.1","NA","Data not available","NA","Data not available","NA","232.9","NA","Data not available","NA","3.6","NA","7.4 (0.4 - 14.4)","NA","146.4 (125.8 - 167.0)","NA","73.8","NA","3.0","NA","5.4","NA","122.3","NA","NA","62.7","Data not available","NA","NA","82.7 (72.5 - 96.3, 7.3)","NA","81.4","NA","7.1","4.2","NA","NA","75.2"
"2018","Wisconsin","1.7","NA","1.3","NA","61.4","NA","Data not available","NA","Data not available","NA","571.0","NA","Data not available","NA","3.3","NA","3.8 (0.9 - 6.7)","NA","145.9 (134.8 - 157.0)","NA","160.4","NA","1.9","NA","4.2","NA","128.1","NA","NA","74.0","Data not available","NA","NA","86.8 (80.6 - 93.9, 3.9)","NA","86.4","NA","14.3","3.1","NA","NA","82.6"
"2018","Wyoming","0.4","NA","1.5","NA","35.6","NA","Data not available","NA","Data not available","NA","451.3","NA","Data not available","NA","2.3","NA","Data suppressed","NA","81.5 (70.6 - 107.0)","NA","64.8","NA","1.5","NA","2.5","NA","72.5","NA","NA","76.9","Data not available","NA","NA","86.6 (66.0 - 100.0, 10.0)","NA","75.0","NA","8.0","4.8","NA","NA","84.4"
"2019","Alabama^","6.5","NA","4.0","NA","146.6","NA","Data not available","NA","Data not available","NA","755.7","NA","Data not available","NA","13.1","NA","13.9 (6.9 - 20.9)","NA","400.3 (377.8 - 422.8)","NA","350.8","NA","6.5","NA","15.5","NA","336.4","NA","NA","66.7","Data not available","NA","NA","83.4 (79.0 - 88.4, 2.9)","NA","79.2","NA","16.7","15.0","NA","NA","78.0"
"2019","Alaska","1.3","NA","1.3","NA","61.8","NA","Data not available","NA","Data not available","NA","1043.4","NA","Data not available","NA","13.0","NA","Data suppressed","NA","139.2 (119.4 - 172.3)","NA","Data suppressed","NA","1.8","NA","4.5","NA","120.9","NA","NA","78.9","Data not available","NA","NA","85.7 (69.3 - 100.0, 9.1)","NA","85.2","NA","13.0","21.5","NA","NA","88.0"
